,Month,elec_cash,gas_cash_cooling,gas_cash_heating,GEHP
0,January,389.6208372,210.115021,0.097621246,599.8334795
1,February,351.9158011,176.934509,0.099943769,528.9502539
2,March,389.6208372,112.069324,1.169410406,502.8595716
3,April,377.0519592,39.5044716,10.5474528,427.1038836
4,May,389.6208372,4.358496425,40.200261,434.1795946
5,June,377.0519592,1.110234131,59.808577,437.9707703
6,July,389.6208372,0.291573115,132.92614,522.8385503
7,August,389.6208372,0.768771863,88.803705,479.1933141
8,September,377.0519592,8.5341342,41.6193804,427.2054738
9,October,389.6208372,50.795205,3.83796023,444.2540025
10,November,377.0519592,48.041994,3.415414617,428.5093678
11,December,389.6208372,87.090232,2.094563922,478.8056331
