Month,supply_charge,general charge fans,general charge cooling,general charge heating,Controlled load usage charge fans,Controlled load usage charge heating,Controlled load usage charge cooling,fans,heating,cooling
January,73.997,218.4827089,304.8100611,0.069350272,97.14112833,1.735293113,134.8500542,315.6238372,1.804643385,439.6601153
February,66.836,197.3393644,255.7232456,0.071000195,87.74043667,1.571013821,113.2432858,285.0798011,1.642014016,368.9665314
March,73.997,218.4827089,155.6288067,0.830750812,97.14112833,2.06788291,69.685715,315.6238372,2.898633722,225.3145217
April,71.61,211.4345567,49.03431867,7.492923682,94.0074025,4.923007872,23.068837,305.4419592,12.41593155,72.10315567
May,73.997,218.4827089,5.160470078,29.85949633,97.14112833,14.74802175,3.95916138,315.6238372,44.60751808,9.119631458
June,71.61,211.4345567,1.314519837,47.189142,94.0074025,22.2628395,2.224199599,305.4419592,69.4519815,3.538719436
July,73.997,218.4827089,0.345223257,112.2632622,97.14112833,50.74307333,1.855798071,315.6238372,163.0063355,2.201021328
August,73.997,218.4827089,0.910227704,72.72754378,97.14112833,33.47335017,2.102599464,315.6238372,106.200894,3.012827168
September,71.61,211.4345567,10.10443906,31.26545644,94.0074025,15.30716367,6.063752225,305.4419592,46.57262011,16.16819129
October,73.997,218.4827089,65.16954889,2.726492395,97.14112833,2.895967832,30.17191833,315.6238372,5.622460227,95.34146722
November,71.61,211.4345567,61.44682989,2.426315391,94.0074025,2.709846558,28.49078558,305.4419592,5.136161949,89.93761547
December,73.997,218.4827089,118.6774478,1.487981184,97.14112833,2.354969803,53.54487417,315.6238372,3.842950987,172.222322
